timestamps,TP9,AF7,AF8,TP10,Right AUX
1607281239.904,37.109,31.738,28.320,34.180,32.715
1607281239.908,30.273,34.180,30.762,29.785,26.367
1607281239.912,11.230,34.180,32.227,4.883,2.930
1607281239.916,15.625,31.250,31.738,7.812,40.527
1607281239.920,36.621,31.738,34.668,35.156,55.176
1607281239.924,41.016,34.180,38.574,41.016,24.902
1607281239.928,23.926,32.227,36.621,16.113,20.996
1607281239.932,19.531,32.227,35.156,5.859,54.199
1607281239.935,33.203,27.832,36.621,24.414,37.598
1607281239.939,44.922,28.809,35.156,36.133,13.672
1607281239.943,28.320,33.203,35.156,15.625,78.613
1607281239.947,24.902,34.668,34.668,3.906,68.848
1607281239.951,34.668,36.133,32.227,17.090,-19.531
1607281239.955,36.133,35.645,32.715,37.598,11.719
1607281239.959,21.973,36.133,32.715,18.555,57.129
1607281239.963,6.348,31.250,30.273,-6.836,32.227
1607281239.967,17.578,29.297,32.227,5.859,6.836
1607281239.971,34.668,31.250,34.180,29.785,-6.836
1607281239.975,33.691,32.227,33.203,24.414,-28.809
1607281239.978,22.461,33.691,32.227,3.418,-41.016
1607281239.982,19.043,34.180,27.832,2.441,14.160
1607281239.986,36.133,36.133,29.785,26.855,34.668
1607281239.990,41.992,34.668,32.227,34.668,27.344
1607281239.994,18.066,33.203,29.297,5.859,64.941
1607281239.998,20.020,33.203,28.809,1.953,58.594
1607281240.002,38.574,30.762,28.320,26.855,0.488
1607281240.006,38.574,26.855,30.762,42.969,26.367
1607281240.010,21.484,27.832,31.250,19.043,55.664
1607281240.014,11.230,28.809,29.297,2.930,21.484
1607281240.017,23.438,27.832,28.809,17.578,10.254
1607281240.021,38.086,26.367,26.855,34.668,7.324
1607281240.025,27.832,28.320,26.367,19.043,20.996
1607281240.029,13.672,33.203,29.297,-4.883,9.766
1607281240.033,20.020,32.227,25.879,2.441,24.414
1607281240.037,38.086,28.320,24.902,30.273,77.637
1607281240.041,35.156,25.879,27.344,31.250,68.848
1607281240.045,16.113,24.414,26.367,4.883,2.441
1607281240.049,18.555,25.879,25.391,-0.977,-19.043
1607281240.053,37.109,27.832,28.320,28.809,34.180
1607281240.057,41.504,32.227,29.785,36.133,32.227
1607281240.060,24.414,30.762,30.762,12.695,-12.207
1607281240.064,19.043,28.320,30.273,0.488,8.789
1607281240.068,36.621,29.297,29.297,20.996,14.160
1607281240.072,52.734,30.273,29.785,44.922,-27.832
1607281240.076,37.109,28.809,30.273,27.344,-0.977
1607281240.080,20.996,30.762,29.297,9.766,33.691
1607281240.084,28.809,35.156,28.320,14.648,37.598
1607281240.088,37.109,32.715,28.320,34.668,71.289
1607281240.092,29.297,32.715,26.855,28.320,43.945
1607281240.096,20.020,33.203,29.297,5.859,-9.277
1607281240.100,27.344,32.227,30.273,10.254,42.969
1607281240.103,37.109,31.738,27.344,31.250,70.312
1607281240.107,30.273,33.203,30.273,36.133,68.359
1607281240.111,16.602,34.668,33.203,10.742,38.574
1607281240.115,17.578,30.762,30.273,6.348,4.395
1607281240.119,37.109,30.762,28.809,32.227,27.832
1607281240.123,42.480,34.668,26.855,34.180,53.711
1607281240.127,22.461,31.738,26.855,6.348,48.828
1607281240.131,11.719,26.855,28.809,-2.441,-12.695
1607281240.135,22.949,26.855,29.785,17.090,48.828
1607281240.139,38.574,30.273,31.250,32.227,83.984
1607281240.142,22.949,30.273,31.250,15.137,63.965
1607281240.146,15.137,29.297,28.809,2.930,68.848
1607281240.150,27.344,27.832,29.297,14.160,30.273
1607281240.154,41.504,28.809,29.297,36.621,29.785
1607281240.158,36.621,30.273,30.273,34.180,29.785
1607281240.162,17.578,28.320,31.738,14.648,2.441
1607281240.166,22.461,27.344,29.785,11.230,14.648
1607281240.170,38.574,24.902,29.297,30.762,12.207
1607281240.174,37.598,26.855,32.227,37.598,-1.465
1607281240.178,14.648,28.809,33.203,13.184,60.547
1607281240.182,3.418,27.344,32.715,5.371,8.789
1607281240.185,22.949,26.855,31.738,26.367,-34.668
