TP9,AF7,AF8,TP10,Right AUX,wordClass
36.133,37.109,32.227,31.738,15.625,19
32.227,33.203,33.203,42.48,21.973,19
16.113,34.668,31.250,12.695,9.766,19
15.137,36.133,24.414,0.0,16.602,19
29.297,33.691,23.438,31.25,34.18,19
42.969,33.203,32.715,53.711,49.316,19
31.25,36.621,39.062,24.902,36.621,19
17.09,34.668,40.039,4.395,32.227,19
28.809,34.18,36.621,19.043,25.391,19
45.898,35.645,34.668,43.457,1.465,19
37.598,36.621,37.598,36.133,-31.738,19
19.531,34.18,36.621,7.324,-26.855,19
24.902,27.344,34.180,13.672,-27.832,19
42.969,30.273,24.902,38.574,-14.648,19
33.691,35.645,22.461,31.25,-25.391,19
24.414,28.32,30.762,16.602,-13.672,19
32.715,34.18,28.809,19.531,22.461,19
37.598,43.457,24.902,26.855,17.09,19
42.48,43.457,29.297,35.156,34.668,19
22.461,44.922,24.414,7.324,83.496,19
10.742,45.41,13.672,-13.672,68.848,19
26.367,43.457,9.277,5.859,20.508,19
37.598,47.852,6.836,20.508,42.969,19
28.809,51.27,5.859,6.836,41.016,19
16.113,47.852,8.301,-9.766,43.945,19
27.344,45.41,10.742,8.789,62.5,19
44.922,42.48,13.672,42.48,24.902,19
31.738,38.574,14.648,29.297,50.781,19
22.461,41.016,18.555,7.812,39.551,19
40.527,43.457,21.484,20.996,-20.02,19
52.246,39.062,15.137,36.621,-13.672,19
43.945,35.645,17.090,35.156,-20.508,19
28.809,35.645,24.902,16.602,-24.414,19
23.926,39.062,23.926,10.742,10.254,19
44.922,41.992,20.996,34.668,35.645,19
48.828,38.086,21.484,48.34,9.766,19
25.391,40.527,21.973,20.02,20.996,19
22.949,41.992,22.461,-0.488,21.484,19
39.551,37.109,22.949,20.02,-24.414,19
51.27,36.621,20.996,43.945,7.812,19
40.527,39.062,22.461,22.949,28.809,19
30.762,40.039,24.414,2.441,-20.508,19
37.109,37.598,21.484,18.066,7.812,19
47.363,34.668,19.531,42.48,42.48,19
43.945,34.668,22.461,37.598,36.133,19
27.344,33.691,21.973,12.695,48.828,19
25.391,29.785,21.973,11.719,-2.93,19
43.945,30.273,23.926,38.574,15.625,19
48.828,35.156,27.832,44.434,36.621,19
23.438,39.062,28.809,8.789,65.43,19
20.02,39.551,26.855,-1.953,125.977,19
42.48,32.227,27.832,28.32,81.055,19
47.852,31.25,25.879,42.48,54.199,54
29.297,38.574,26.855,18.066,53.223,54
22.461,40.527,27.832,0.488,99.121,54
36.133,41.016,29.297,18.066,88.867,54
39.551,35.645,25.879,40.039,43.457,54
22.461,28.32,25.879,22.949,3.418,54
13.184,29.785,25.391,0.0,-11.719,54
19.531,32.227,21.973,6.836,60.059,54
34.668,30.273,22.949,38.574,52.734,54
24.902,30.273,23.438,37.598,66.406,54
8.789,31.738,27.832,8.789,45.41,54
17.578,29.785,30.273,3.906,-0.977,54
36.133,24.414,30.273,33.691,63.965,54
38.574,21.484,31.738,46.387,73.73,54
22.949,27.832,26.367,14.16,24.414,54
20.508,38.086,19.043,-8.301,14.16,54
39.062,41.992,15.625,8.789,-0.977,54
46.875,42.48,13.672,23.438,16.113,54
26.855,46.875,13.184,0.977,18.066,54
19.531,52.246,11.230,-10.254,2.441,54
31.25,54.199,8.789,2.441,-30.273,54
41.992,51.27,6.348,22.461,-7.324,54
36.621,50.781,7.812,15.625,-14.16,54
26.367,45.41,15.625,-6.348,-44.434,54
29.297,43.457,16.113,4.395,26.367,54
42.48,46.387,15.137,35.645,41.504,54
37.109,43.457,19.043,33.203,41.992,54
17.578,41.016,11.230,5.371,69.336,54
16.113,38.086,5.371,3.418,14.648,54
36.133,40.527,15.137,31.25,1.953,54
46.387,43.457,28.809,46.875,39.062,54
27.832,40.039,31.738,21.973,31.25,54
17.578,35.156,25.391,3.418,12.207,54
31.25,36.621,21.973,23.926,-37.598,54
40.039,38.086,21.484,43.945,11.719,54
30.762,32.715,22.461,21.484,49.316,54
28.809,33.691,21.484,5.371,31.738,54
40.527,38.086,20.996,16.113,46.875,54
52.734,37.109,19.043,36.621,26.855,54
47.363,37.598,22.949,34.668,21.973,54
33.691,35.645,25.879,13.672,41.016,54
36.621,33.203,19.531,14.16,-4.395,54
49.316,33.691,20.020,43.945,0.977,54
44.922,35.156,31.738,45.41,53.223,54
30.273,37.109,36.133,8.301,12.207,54
30.762,37.598,33.691,1.953,14.648,54
48.828,38.574,30.762,28.809,21.484,54
48.828,36.133,30.762,40.039,42.969,54
21.973,28.809,32.715,15.137,83.496,54
17.09,35.156,32.227,3.418,55.176,54
32.227,42.48,29.785,25.879,27.344,54
35.156,38.574,30.273,46.875,54.199,111
22.949,37.109,31.738,35.156,20.508,111
21.484,38.086,30.762,19.531,-46.875,111
33.691,36.133,31.250,20.996,1.465,111
48.828,32.715,29.297,30.273,52.246,111
41.016,32.227,26.855,20.996,65.918,111
28.32,33.691,30.762,-0.977,22.461,111
37.598,30.762,33.203,4.883,-0.488,111
56.152,33.203,34.180,37.109,39.062,111
55.664,39.551,36.133,44.922,74.707,111
28.809,32.715,30.762,16.113,105.469,111
20.996,26.855,26.367,3.906,74.219,111
42.969,24.414,28.320,27.344,24.414,111
49.805,21.484,27.832,43.457,26.855,111
25.879,24.414,28.809,24.902,-27.344,111
19.531,31.25,30.273,8.789,-2.441,111
35.156,38.086,29.297,27.344,39.551,111
45.898,38.086,31.250,45.898,21.973,111
34.668,36.621,32.715,21.484,17.09,111
19.043,36.133,31.738,1.465,12.207,111
31.738,34.18,33.203,20.02,-22.949,111
52.246,37.109,33.203,43.945,-7.324,111
48.34,36.621,37.598,36.133,23.926,111
33.203,33.691,41.016,15.625,-9.277,111
33.203,35.645,37.109,19.043,22.461,111
46.387,35.156,35.645,41.992,34.18,111
48.34,34.18,32.715,42.48,21.484,111
33.203,32.227,36.133,13.672,27.344,111
31.25,28.32,34.668,2.93,26.855,111
41.992,29.297,27.344,20.508,21.484,111
43.945,32.715,29.785,34.668,0.488,111
34.668,34.668,33.203,16.602,34.668,111
26.855,31.738,34.668,0.488,25.879,111
25.879,28.809,31.250,10.254,-36.133,111
38.086,25.879,28.320,36.133,20.508,111
34.18,24.414,29.297,28.809,11.719,111
25.391,28.809,30.762,10.254,-23.926,111
24.902,24.902,34.180,17.09,35.645,111
34.18,20.02,31.738,41.992,36.133,111
34.668,23.438,31.250,38.574,-30.762,111
20.02,24.414,36.133,9.277,13.184,111
15.137,26.855,31.738,4.883,73.242,111
26.367,26.855,25.391,30.762,44.922,111
32.715,24.414,26.855,39.062,1.465,111
16.602,25.879,24.902,8.789,50.781,111
6.836,20.508,22.949,-6.348,59.57,111
17.578,19.043,20.020,11.719,33.203,111
26.367,20.996,25.879,31.738,51.758,111
16.113,23.926,38.086,17.578,-7.812,111
12.695,31.738,38.086,0.0,-1.953,111
29.297,29.297,34.668,9.766,51.27,111
38.574,29.785,32.227,33.691,32.715,111
26.367,32.227,29.297,24.414,30.762,118
12.207,26.367,28.320,-4.395,11.719,118
19.531,22.461,29.297,3.906,22.949,118
38.574,27.832,34.668,38.574,44.434,118
29.785,32.227,33.203,37.598,20.996,118
7.324,29.785,30.273,3.418,78.613,118
6.348,32.227,27.832,-12.207,54.688,118
28.32,34.668,25.391,22.949,0.977,118
34.668,32.227,29.785,38.574,60.059,118
17.09,32.227,28.809,5.859,105.469,118
13.184,33.203,27.832,-8.789,86.426,118
35.645,34.18,31.250,17.578,-6.348,118
41.992,30.762,29.785,32.227,24.414,118
20.996,30.762,25.879,13.184,83.496,118
24.414,37.598,32.715,8.789,28.809,118
34.668,35.645,34.668,18.555,24.902,118
39.551,30.762,30.762,36.133,70.801,118
30.762,31.25,34.668,35.156,38.574,118
16.113,28.809,30.273,6.348,-8.789,118
22.461,31.738,31.250,5.371,50.781,118
35.156,32.715,32.715,35.156,83.496,118
23.438,28.809,25.391,33.691,27.832,118
5.859,33.691,26.367,2.93,20.996,118
9.766,33.691,28.809,-4.395,29.297,118
20.996,30.762,28.809,16.602,-1.465,118
22.461,30.762,19.531,26.367,-0.977,118
14.648,25.879,17.090,4.395,26.367,118
19.531,28.32,27.344,-10.254,42.48,118
29.785,35.645,28.320,5.859,-4.395,118
33.203,33.203,29.297,29.297,9.277,118
23.438,35.645,35.645,17.09,91.309,118
12.695,36.621,34.668,-2.93,70.312,118
23.438,35.156,35.156,5.859,6.348,118
38.574,36.133,31.738,36.133,22.461,118
26.855,34.18,28.320,35.156,54.688,118
22.461,35.645,28.809,3.906,54.199,118
48.34,41.016,23.438,11.719,-13.184,118
72.266,37.598,24.414,53.711,33.203,118
45.41,29.785,33.203,43.457,29.785,118
11.23,24.902,40.527,-8.301,-3.906,118
14.648,21.484,39.062,-11.23,21.973,118
31.25,20.508,35.156,24.414,17.09,118
33.203,19.531,47.363,41.016,27.344,118
16.113,15.137,48.340,17.578,19.043,118
-6.836,8.789,36.621,-9.766,36.133,118
2.93,7.812,42.969,8.789,66.895,118
18.555,10.254,46.875,39.062,72.266,118
13.672,12.207,47.363,30.273,25.879,118
8.301,8.301,45.898,7.812,-21.973,118
18.555,9.766,41.016,17.09,-27.344,118
28.809,13.184,39.551,38.574,0.0,118
24.414,14.16,39.551,30.273,34.18,118
20.996,16.113,42.969,7.812,-15.625,97
21.973,15.137,42.480,12.207,-77.637,97
33.203,15.625,36.133,44.922,-10.742,97
37.109,19.531,36.621,47.363,60.059,97
21.484,20.02,38.086,23.926,17.578,97
22.461,24.414,42.480,26.367,2.93,97
39.062,29.297,40.527,46.875,2.93,97
34.18,16.602,33.691,43.457,1.953,97
20.02,14.648,30.762,18.555,33.691,97
27.344,20.508,26.855,14.16,19.531,97
38.086,21.484,29.297,29.297,-43.457,97
42.969,20.508,26.367,48.828,19.531,97
40.039,20.02,29.297,36.133,80.078,97
33.203,22.461,36.133,18.066,37.109,97
41.504,23.926,36.621,27.832,41.504,97
54.199,23.926,36.621,47.363,62.988,97
44.922,26.367,35.645,45.898,-17.578,97
31.738,29.785,37.109,20.508,-29.297,97
37.598,31.25,31.738,12.695,26.367,97
51.27,30.762,37.109,39.062,76.172,97
51.27,29.297,41.992,54.199,57.617,97
43.457,32.715,32.715,36.621,-13.672,97
37.598,35.645,35.156,22.949,-49.316,97
46.387,32.715,34.180,44.922,28.32,97
55.664,32.715,30.762,60.059,126.953,97
45.41,32.715,35.645,39.062,60.547,97
35.156,33.203,38.574,22.461,-20.996,97
37.109,30.762,33.691,22.461,22.461,97
44.922,24.414,33.691,39.062,96.68,97
37.109,20.508,30.762,38.086,86.914,97
20.996,23.926,29.785,12.207,61.523,97
21.973,26.855,31.738,16.602,-4.395,97
34.668,27.832,30.273,44.922,-15.137,97
26.367,24.902,32.715,49.805,1.465,97
14.648,20.508,37.109,28.32,-11.23,97
21.973,20.996,40.039,22.461,-31.25,97
30.273,20.02,36.621,32.715,-17.09,97
35.645,19.531,34.180,42.48,32.715,97
25.879,27.344,38.574,23.926,22.461,97
26.367,35.645,46.875,14.16,-19.043,97
33.203,23.438,43.457,19.043,40.527,97
31.25,14.16,28.809,27.832,35.156,97
27.832,21.973,26.367,14.16,23.438,97
25.391,26.367,26.855,-6.348,20.996,97
29.297,24.414,26.367,10.742,-25.879,97
41.992,24.414,26.855,41.992,71.289,97
32.715,25.391,34.668,34.668,114.258,97
19.043,25.879,39.062,19.531,44.434,97
33.203,27.832,31.250,32.715,27.344,97
44.922,30.273,32.227,51.758,44.922,97
34.668,28.809,33.203,42.48,17.578,97
24.414,22.949,35.156,20.02,42.48,129
31.25,23.926,37.109,15.625,16.602,129
37.109,22.949,38.574,26.367,-11.23,129
31.738,23.438,33.203,35.156,57.617,129
17.578,20.508,31.250,24.414,69.336,129
16.113,16.602,34.180,9.277,61.523,129
30.273,22.461,34.180,17.578,53.223,129
38.574,27.344,32.227,43.457,33.203,129
21.973,27.344,32.227,29.297,74.707,129
17.09,28.32,34.668,13.672,81.543,129
28.32,29.785,33.691,27.344,-18.555,129
27.832,26.855,27.832,40.527,-59.57,129
23.438,27.344,27.832,38.086,0.977,129
8.789,29.297,28.809,22.949,26.855,129
15.625,24.414,27.344,21.973,9.766,129
40.039,24.902,26.367,46.875,8.789,129
38.086,33.203,25.391,48.828,59.082,129
17.578,36.621,27.344,14.16,20.996,129
22.949,39.062,25.879,5.371,-10.254,129
43.945,37.109,24.902,23.438,48.828,129
46.875,29.297,28.809,38.086,51.758,129
29.785,33.691,29.785,17.09,66.406,129
21.973,32.715,26.367,-0.488,99.121,129
30.762,22.949,30.273,10.254,44.922,129
41.016,24.414,33.203,33.691,18.555,129
31.25,26.367,32.227,29.297,0.488,129
17.578,26.367,38.574,4.883,14.16,129
21.484,25.879,38.574,1.465,28.32,129
25.879,19.531,27.344,23.926,8.301,129
21.484,22.461,26.855,26.367,26.367,129
19.531,29.297,30.762,6.348,-49.805,129
25.879,33.691,31.250,10.254,-82.52,129
32.227,26.855,22.949,19.531,-12.695,129
28.809,21.484,20.996,18.066,32.715,129
11.23,27.344,24.414,-0.488,75.195,129
7.324,28.809,24.902,-4.395,55.664,129
20.996,30.273,25.879,17.09,36.621,129
27.344,29.785,26.367,35.645,-6.836,129
19.531,28.809,29.297,26.367,6.348,129
14.16,26.367,25.391,4.883,83.984,129
30.762,23.926,28.809,13.184,12.207,129
53.223,27.344,29.785,38.574,-43.945,129
32.227,22.461,25.391,24.902,-2.93,129
15.625,22.461,27.344,2.93,70.312,129
31.738,27.832,24.414,12.695,71.777,129
41.992,29.297,25.391,28.32,32.715,129
36.621,32.227,26.367,26.367,61.523,129
24.414,32.227,26.367,7.812,83.008,129
21.973,26.367,26.367,3.906,62.988,129
41.504,31.25,33.203,31.738,59.57,129
43.945,36.621,40.527,42.48,45.41,129
13.672,31.25,30.762,12.207,52.246,129
8.789,28.32,26.855,1.465,71.777,115
26.855,27.832,26.855,20.508,47.852,115
35.156,29.297,28.809,41.504,71.777,115
20.02,29.297,31.250,27.344,88.867,115
15.625,28.809,27.832,13.672,79.59,115
32.715,29.785,32.715,25.391,50.293,115
55.664,37.109,39.062,48.828,-17.578,115
48.828,37.109,35.645,40.527,-6.348,115
29.297,30.273,28.320,9.766,51.27,115
28.32,30.762,26.855,12.207,21.484,115
42.48,34.668,30.762,38.574,27.344,115
49.805,39.551,26.367,42.969,73.242,115
43.945,42.48,29.785,24.414,17.09,115
33.691,38.086,30.273,14.648,24.902,115
34.18,31.25,22.461,26.367,55.176,115
44.922,33.691,25.879,41.992,24.902,115
32.227,35.645,27.832,24.414,40.039,115
23.438,34.18,27.344,8.789,34.668,115
31.25,32.715,31.250,18.066,0.977,115
38.574,33.203,32.227,36.621,24.902,115
35.156,33.691,32.715,23.926,80.566,115
21.973,30.273,34.180,0.488,53.711,115
44.922,31.738,33.203,24.902,-6.836,115
77.148,37.109,28.320,67.871,53.711,115
51.758,34.18,29.297,51.27,71.777,115
18.555,24.902,35.645,8.301,35.156,115
26.855,21.484,35.645,6.348,-22.949,115
40.527,16.602,35.156,35.156,-11.23,115
34.668,10.742,38.086,42.48,19.531,115
22.949,10.742,38.574,17.578,25.391,115
20.996,9.766,40.039,9.766,65.43,115
39.551,10.254,41.016,36.133,26.855,115
49.805,12.207,37.598,48.828,23.438,115
31.25,12.207,35.645,27.344,27.832,115
28.32,14.16,36.133,12.207,-26.855,115
42.969,15.625,39.062,25.391,-8.789,115
53.223,17.09,38.574,51.27,31.738,115
43.457,19.043,36.621,42.48,-28.809,115
32.715,17.578,31.738,17.09,4.883,115
34.18,16.113,30.273,26.367,55.664,115
41.504,16.602,33.691,49.805,9.277,115
42.48,18.555,34.668,46.387,0.488,115
32.227,18.066,35.156,24.902,42.969,115
30.762,21.973,35.645,23.926,8.789,115
43.457,24.902,35.156,44.434,-39.062,115
44.922,25.879,37.598,55.176,1.465,115
31.25,24.902,38.574,39.551,41.504,115
24.414,22.461,36.621,26.855,-5.371,115
41.016,24.902,33.691,39.551,31.738,115
45.898,25.879,29.785,51.27,54.688,115
34.668,29.297,37.109,39.062,31.25,115
32.715,30.762,39.062,24.414,35.645,68
36.133,25.391,28.320,31.738,14.648,68
44.434,25.391,26.855,49.316,26.855,68
31.738,25.879,32.227,35.645,65.918,68
20.508,27.344,32.715,18.066,54.688,68
24.902,25.391,30.273,24.414,21.973,68
34.18,23.438,29.785,40.039,21.484,68
32.715,27.344,31.250,36.621,21.484,68
24.902,25.879,32.715,17.09,6.348,68
24.414,21.484,32.227,9.277,41.992,68
38.574,26.855,32.715,28.809,69.824,68
41.504,36.133,34.180,37.598,70.801,68
16.113,33.203,23.926,5.859,83.008,68
13.184,32.227,22.949,-4.883,38.574,68
24.414,29.785,27.344,13.184,15.137,68
26.367,26.855,26.367,35.156,19.531,68
18.066,31.738,27.344,26.855,-26.367,68
12.207,34.18,27.832,3.906,18.555,68
20.02,32.227,30.273,12.207,51.758,68
31.738,28.32,29.785,41.504,13.672,68
25.879,28.32,28.809,36.133,40.527,68
19.043,33.691,30.762,17.578,55.176,68
22.949,30.762,28.320,17.578,-0.977,68
41.016,32.715,32.227,37.598,-1.465,68
42.48,40.039,35.156,37.109,41.016,68
20.508,36.621,26.367,3.418,13.184,68
21.484,30.762,24.902,-0.488,17.578,68
31.738,33.691,29.785,20.508,46.387,68
39.062,36.621,33.691,37.109,27.832,68
27.344,33.203,36.621,18.066,13.672,68
20.508,34.18,32.715,5.371,33.691,68
32.715,33.203,32.227,25.391,43.945,68
39.551,28.809,34.668,39.062,59.57,68
36.621,34.18,34.180,25.391,50.781,68
25.391,37.109,35.156,2.93,5.371,68
21.484,33.203,28.320,6.348,-23.926,68
30.273,33.203,27.344,32.227,-13.184,68
24.902,31.738,33.691,29.785,34.668,68
19.531,31.25,34.668,12.207,51.27,68
24.414,28.809,33.691,11.23,66.406,68
32.715,28.809,35.645,32.227,12.207,68
31.25,31.25,35.156,35.645,20.996,68
22.461,34.18,34.668,12.695,55.176,68
20.508,34.18,33.691,9.766,11.719,68
32.227,35.645,30.273,26.855,6.348,68
41.504,35.156,30.273,39.062,6.836,68
26.367,32.715,30.762,19.531,31.25,68
20.508,33.691,30.273,8.301,26.855,68
35.645,38.574,31.738,29.297,8.301,68
42.48,37.109,26.367,44.434,39.551,68
23.926,29.785,21.973,25.879,16.602,68
11.719,28.809,24.414,3.418,-8.301,68
19.531,29.297,24.902,9.766,25.879,41
30.273,27.344,27.832,30.762,95.215,41
20.02,24.902,29.785,25.391,85.938,41
12.695,28.32,31.250,10.254,86.426,41
17.09,31.25,33.203,11.23,92.773,41
29.785,30.273,33.691,32.227,15.625,41
34.18,30.762,33.203,40.039,11.23,41
21.484,35.156,32.715,21.973,-15.625,41
17.09,34.668,32.227,2.93,-41.504,41
31.738,37.109,29.785,10.254,24.414,41
43.457,41.016,30.762,30.273,49.805,41
33.203,41.992,35.156,12.207,28.32,41
17.09,34.18,26.367,-7.324,16.602,41
16.602,24.414,22.461,5.371,28.809,41
29.785,25.391,27.832,25.879,29.297,41
20.02,30.273,28.809,11.23,43.457,41
7.812,31.738,28.320,-4.395,48.34,41
18.066,29.297,27.832,2.441,55.664,41
34.18,32.227,25.879,25.879,105.957,41
34.18,32.715,27.344,29.297,66.406,41
16.113,28.32,28.320,0.977,18.066,41
14.16,30.762,27.344,-2.93,55.664,41
35.156,32.715,28.809,27.832,30.273,41
32.227,33.203,26.855,39.062,43.945,41
20.996,36.133,30.762,18.555,74.219,41
26.855,35.156,30.762,6.836,48.34,41
23.926,24.902,20.996,19.531,44.434,41
26.367,23.438,19.531,33.203,37.598,41
17.578,24.902,21.484,13.184,41.504,41
6.348,23.926,22.949,-2.93,4.395,41
18.066,25.879,24.902,16.602,-19.531,41
34.668,28.809,23.926,38.574,-17.578,41
32.715,29.785,25.391,30.273,-41.016,41
19.531,28.32,28.809,11.23,5.371,41
25.879,26.367,30.762,14.16,-1.465,41
39.062,25.391,32.715,34.668,0.977,41
31.738,28.809,33.203,30.762,32.227,41
19.531,32.227,32.715,10.254,0.0,41
19.043,31.738,29.297,6.348,-10.254,41
30.273,32.715,29.785,26.855,-0.977,41
36.621,31.25,33.691,40.527,-28.32,41
25.391,27.832,30.762,16.113,-3.906,41
27.344,38.574,35.156,8.789,24.902,41
37.598,42.48,35.645,26.367,17.578,41
34.18,33.203,24.902,28.809,2.93,41
24.414,34.668,23.926,13.184,-0.977,41
19.531,33.691,26.855,0.488,-25.879,41
24.902,30.762,27.832,8.789,-15.137,41
31.738,29.297,27.832,25.391,29.297,41
25.879,29.297,28.809,20.02,19.043,41
16.113,33.203,28.320,1.953,-9.766,41
21.484,33.203,28.809,7.324,55.176,117
34.668,31.25,29.297,26.855,108.887,117
32.227,30.273,32.227,28.32,92.773,117
16.602,27.344,32.715,7.812,18.066,117
17.09,26.855,30.273,3.906,15.625,117
34.668,29.785,32.227,24.902,55.176,117
38.086,30.762,35.645,34.668,23.438,117
25.879,29.297,33.691,16.113,20.996,117
20.02,29.297,30.762,8.301,62.988,117
31.25,34.18,34.180,25.391,74.707,117
44.434,34.668,36.621,45.41,42.48,117
